from_id:start_id,to_id:end_id,amount:int,year:int
108,2546,7050,2010
2076,5652,1450,2010
7843,3260,9750,1990
5852,8014,6250,2000
1007,9061,850,2010
70,6063,2750,1990
2840,4169,2750,2000
1664,2005,3650,2000
9687,3690,4050,2000
9570,7176,5750,2010
567,8150,2450,2010
242,8218,2850,2010
1595,6887,1250,2010
1937,1036,9450,2010
6589,3363,8050,2000
7387,7478,3550,1990
8944,7175,7950,2010
5478,3622,250,2010
7249,7690,3750,2010
5218,1704,3250,2000
3320,1947,5550,2010
7141,6835,7750,2010
4971,212,6950,2000
2974,382,8850,1990
7317,6065,750,2000
9919,4478,150,2010
8936,2362,7650,2010
7587,6766,2150,2010
396,9955,8250,2010
7078,4275,5750,2010
3977,845,3850,2010
6760,1433,3750,2000
1696,2459,8150,1990
1849,4734,150,2000
1199,7221,7050,2010
6720,8562,8350,2000
8406,2025,1450,1990
1543,7871,6450,2000
2168,3820,9850,1990
9848,2134,6250,2000
757,236,950,1990
1868,5609,3150,2010
7642,2261,2750,2000
14,9610,9450,1990
2140,8305,2850,1990
2981,3428,1850,2000
3675,8249,5350,2010
9468,7331,4850,2000
2589,1419,9950,2010
2077,7532,6650,2010
5760,7593,2950,2000
2363,1014,450,1990
1765,3977,5850,2010
7363,9465,3350,2010
620,8621,5150,1990
831,4336,5350,1990
8012,1701,6350,1990
4091,1191,6350,2010
3596,6245,5150,2000
3012,9173,9550,1990
93,7343,6950,1990
1967,5423,2350,1990
8719,4472,3150,2000
532,6142,5850,1990
1403,2731,450,2000
6657,8892,2350,1990
3758,1067,3650,1990
850,5152,2850,2010
9119,1928,2350,1990
3259,6075,5550,1990
766,6517,3550,2010
5408,9689,9350,2010
6444,7981,9150,1990
7637,223,3950,1990
5376,4645,8850,2000
7193,5647,3350,1990
8685,1833,1650,2000
9204,3887,6350,1990
9131,3823,650,2000
9472,4546,1050,2000
3912,3642,5250,1990
6535,2080,550,2000
3448,5714,6350,2000
4714,8268,2050,2010
8331,7255,5450,2010
795,9066,3550,1990
8701,3831,4350,2010
3705,2734,6950,2000
1496,9911,6450,1990
7030,363,7050,1990
9436,8602,7050,1990
7973,439,7450,1990
8817,2771,7550,2000
2388,7353,8250,2000
1503,3911,5350,2010
4770,8053,8650,2000
2931,7106,5650,1990
3647,7960,3550,2010
3112,7772,7350,2010
5453,2112,8650,2000
4946,7382,9450,1990
5819,6540,2250,2000
8514,2219,7650,2010
2666,7219,8550,2010
8378,7522,5750,2000
5216,887,4150,2010
1790,5109,9350,1990
1931,2850,550,2010
6245,4941,3950,2000
7376,8482,3950,1990
8020,6729,9550,2010
8799,8084,550,2010
5910,2495,9550,1990
6354,6155,3750,1990
9978,8594,9250,2010
4287,897,3950,1990
9177,7351,750,1990
4451,4620,150,1990
7529,1902,250,1990
8397,5113,4650,1990
9218,9141,9250,2010
3346,4497,2450,2010
734,406,4650,2010
8550,6718,2750,1990
6376,3569,4950,2000
3435,4844,6450,1990
6997,1549,3250,2010
6481,881,5850,1990
6602,4223,5150,2000
2384,6289,7950,2000
5923,1497,3650,2000
425,1473,3950,2000
9996,640,7250,2000
2317,1839,1450,2010
7488,4363,3350,2000
3879,4639,1150,1990
7990,5003,7150,1990
4088,5654,1550,2000
1892,5341,3650,1990
3594,488,5550,2010
5232,5040,8250,2010
9685,3354,9550,2000
1870,7653,350,1990
3973,5451,9250,2000
9678,1125,5050,1990
6867,5638,3250,2010
2912,713,2250,1990
7471,5363,6450,1990
8782,1225,7850,1990
8189,2126,450,2010
1376,5180,1250,1990
1508,5668,2750,2000
6135,2461,5250,1990
2543,8671,4850,2010
4482,4160,8950,1990
3063,8590,9750,2000
4481,5555,7250,2010
8637,1763,4350,1990
1023,5177,3950,2000
7889,9263,8050,1990
7507,4488,8050,1990
417,6837,3550,1990
4775,4974,6850,1990
8083,7167,6550,1990
3273,1230,1450,2010
7302,2889,8150,2010
6615,6588,850,2000
9082,8352,350,2010
3784,5430,150,2010
4821,6845,7750,2010
1314,5184,950,2010
6426,7428,7250,2000
2122,7348,5050,2000
7005,9433,8050,2000
1539,206,1150,1990
8443,3254,2250,1990
115,5938,7950,1990
1236,5260,1050,2010
7389,530,3050,2010
6675,9459,750,2000
9321,9314,2350,2010
4773,743,3050,1990
9539,7915,2450,2000
5764,6986,9750,2000
4612,9129,9450,2010
9475,1699,5750,2010
2755,4963,3850,2010
6004,3135,7450,2010
4839,6556,7750,1990
8953,3068,3450,1990
5048,5300,2850,2000
1434,6164,5250,2010
73,4321,3250,2010
5182,1998,2950,1990
747,9635,9450,2010
3988,4480,1350,2000
370,1705,7450,2010
7084,8457,6150,1990
4730,8056,8750,2000
1704,2446,6850,2000
6647,1392,4450,1990
4282,4858,8850,2000
8284,2205,3250,2000
9865,8107,2850,2010
9417,5087,1150,2010
4966,1435,3750,1990
4825,213,3650,2000
2717,5095,950,1990
1844,5356,9750,1990
668,1737,650,2000
6566,8149,2950,2010
6089,3543,8050,1990
6846,9195,2250,2010
9581,2118,4450,1990
5262,9001,6350,2010
8105,1497,7250,1990
7690,457,650,2010
2421,8686,5450,2010
3559,9838,4250,2000
601,9470,5450,2010
3087,7991,8950,1990
3961,9330,9750,2000
9129,1974,4150,2010
9516,3698,6950,2010
2001,2936,8550,2010
9079,8737,3750,2000
8858,8103,6150,2000
3600,5390,6750,2010
6551,8237,8650,2000
8135,9053,250,2010
9000,473,4650,2000
7810,6397,650,1990
7210,8254,4650,2000
1840,2569,9550,2010
1409,9329,3150,2000
5732,4653,7150,1990
2614,5874,5250,1990
8704,7973,3550,1990
8975,3173,5350,2010
622,1980,8150,2010
7543,3440,8050,1990
7744,1455,6850,2010
9793,1690,2150,1990
4584,8480,8350,2010
2504,3219,2650,2010
9548,7824,350,2010
6265,9700,8250,2000
2033,903,5950,2000
7472,3785,4650,2000
6705,6910,1750,2000
3520,1202,4850,2000
1133,4325,5450,1990
1263,5542,8950,2000
9396,7356,6550,2010
954,5195,8250,1990
1886,2992,1350,2010
2328,1215,4550,2010
2443,5837,8650,2010
8236,366,6150,2000
2518,1910,2250,2000
3246,6866,3750,2000
6914,2528,2250,1990
745,7134,5650,2000
4296,8358,8250,1990
3785,8153,5650,2010
1637,6312,5650,1990
8987,3476,4550,2000
8231,9435,8850,1990
7135,7438,1150,2000
8393,5143,5850,1990
7840,1905,3350,2000
2835,9241,2450,2000
7677,8184,4650,2000
5611,2726,3450,2000
3000,5791,9750,1990
8988,7923,8150,2010
8116,2861,350,1990
4273,6415,9050,2000
3400,2507,850,2000
548,6660,7650,2010
372,6113,7650,2000
3405,4517,7850,1990
1674,2604,5850,1990
9436,59,6750,2000
2702,4041,6550,2010
7037,815,1550,2000
7499,550,6150,1990
9862,6035,450,2010
3465,5506,1250,1990
5714,3450,3250,1990
3680,9232,6750,2010
7498,5213,50,1990
9191,3880,650,1990
7682,132,8050,1990
5041,6276,9550,2010
4873,9721,8150,2000
4754,9260,950,2010
196,5960,2250,2010
370,9336,7150,2010
6997,1763,2350,1990
7521,6622,7450,2000
7581,923,6550,2000
6404,8192,8250,1990
477,5735,2950,2000
9253,6987,4550,2000
7403,6501,3850,2000
6791,350,9250,2000
191,909,7050,2000
6168,4854,9150,1990
9649,2779,350,2000
4531,7656,7750,1990
9915,632,3950,2010
971,9033,3050,2000
7757,6768,3850,2000
8063,7868,2150,1990
315,2711,6950,2010
6554,9411,3150,2010
421,891,2550,2010
5222,142,250,2000
8783,3737,3150,1990
2987,5379,1950,2000
3485,9379,1550,2000
9761,9665,4050,2000
6028,8430,7250,1990
4643,9512,5450,1990
4365,7676,7250,1990
4387,1875,2950,2010
7489,3627,9850,2010
6815,2948,9450,2010
7293,1418,6750,2010
8578,5140,250,2000
4003,2686,1250,2000
8692,4491,1350,2010
2726,7166,6050,1990
1855,8204,7650,1990
7929,9295,8050,2000
8526,174,750,2000
9437,3972,8850,2000
6339,1356,4050,2010
1412,1414,650,2010
2084,5202,5150,2000
9158,994,6850,2010
9360,5465,7150,1990
7343,7635,3650,2010
5799,4853,8650,2010
5113,6251,550,2010
7512,968,1450,1990
7901,9021,9650,2000
281,4383,5350,2000
6448,3414,5150,2010
9481,4593,7350,1990
5455,3079,2550,1990
2699,4750,4350,2010
497,5210,4750,2010
2819,8701,6150,1990
7054,3772,7150,2010
117,697,250,2010
5221,1386,7050,1990
7312,3594,7250,2010
5001,7061,650,2000
9098,4851,2950,2000
8261,2624,3850,2010
6311,2774,8750,2010
7052,1180,9950,2000
3147,4173,9850,1990
6457,5245,7450,2000
4609,1785,6250,2000
8736,302,5950,2010
5700,1135,9950,2010
4803,4311,4750,2010
1718,561,6950,1990
2431,1071,5050,2010
3791,5853,6950,2000
426,2843,4650,1990
2377,4114,6950,2000
363,4751,8850,2000
3186,9342,3850,1990
9657,779,3450,2000
7522,2620,6250,2000
7513,7346,3450,1990
9945,1624,5350,2010
7169,4686,6250,1990
3399,8856,2150,2010
6455,4442,3250,1990
1356,7728,4450,1990
7009,2624,7950,1990
1737,8282,3450,2000
8853,6004,6750,2000
7758,6622,6250,1990
9554,6735,8250,1990
7867,985,7650,2000
550,9247,1350,1990
5964,8504,5950,2000
7936,5291,2950,2000
6296,1240,2050,1990
2647,7599,1150,2000
9898,2324,1250,2010
9482,5079,2350,2000
6126,6697,8350,2010
4309,8473,8050,2010
8299,5866,1950,2010
841,5659,2150,2010
2275,207,9250,2010
3720,6626,3650,2010
5660,7454,2050,2000
2691,2349,3850,1990
5156,2921,3550,1990
8310,2266,7350,2000
2043,4665,7850,2000
2604,7462,8250,1990
8504,1081,2650,2010
739,8796,450,2000
5223,5791,2050,2000
6074,1639,5750,2010
9544,1691,4850,2000
7201,3937,6950,1990
6195,7912,5150,2010
5044,4397,5350,2000
8498,279,9150,2010
7617,5356,6650,1990
7013,4523,1250,2010
2478,7155,3150,2010
5705,3862,750,2000
8582,3043,7350,2010
5064,5982,2650,2000
4787,6809,3050,1990
2967,8879,7950,2010
3321,3286,3750,2000
8269,1813,2350,2010
2694,4613,8150,2000
6265,9982,7450,2000
5712,3049,5050,1990
5426,8655,1850,2000
5159,2086,8950,2000
6094,1735,3050,2010
6564,9358,8850,1990
7527,7431,7550,2000
1640,2825,350,2010
664,8151,2550,2010
3766,6012,3250,2010
6973,4367,1350,2000
1856,541,4150,2000
4735,7954,250,2010
981,640,9750,2010
2240,208,7350,2000
2954,1076,2850,2000
488,3974,650,1990
5646,578,9550,1990
9368,8148,2650,2010
5356,1634,8250,2000
4307,8274,3850,2000
1242,5019,2850,2000
5878,6296,3350,2000
6509,6618,4050,2010
4168,2962,9050,2000
7104,4511,450,2010
4185,9423,7150,2010
548,4511,6550,2000
9578,9705,9850,1990
5615,4717,2850,2010
7648,7174,450,2010
2279,9555,6450,2010
723,4557,9250,1990
8877,4041,9850,2010
8522,3305,4850,1990
5756,5989,3250,2010
6168,9757,4450,2000
4011,8805,3550,1990
3027,5127,6450,2000
1461,6551,3950,2000
394,6835,4150,2010
4973,9851,3950,1990
1848,55,50,2010
6331,1701,6150,1990
6632,7728,4250,2000
6710,355,2750,2010
6132,2330,1350,2000
5050,9181,5950,1990
5507,3605,8850,2000
305,6722,8450,2010
7305,3914,250,1990
1273,1653,3350,2010
8950,5397,2050,2000
5668,7943,9450,2010
5261,1923,2850,2000
8183,726,7850,1990
4335,8897,6650,2000
9506,2371,1550,2010
7092,9864,2550,2010
6905,8363,4750,2010
5727,2926,2650,2000
690,7921,9250,2000
4469,2435,1750,2000
72,3987,2950,1990
6167,352,6650,2010
4525,7678,850,2010
4568,2975,8250,2010
7733,7353,5250,2010
5137,3880,2150,2010
716,3348,4350,2000
4344,7110,6950,2010
3095,1128,750,2000
9906,2065,9450,2010
57,314,3750,2010
8279,4059,7650,2010
2269,2095,5350,2010
816,2413,5650,2010
5726,8088,7550,2000
3015,2857,9950,1990
571,2293,1550,1990
5021,6828,9350,2000
9941,9253,7850,1990
6644,8040,1250,2010
2538,7424,6150,1990
2224,1459,9950,1990
6017,8120,7950,2010
4166,3004,9450,2010
4138,4998,8950,2010
7303,8370,8550,1990
2338,3606,6950,2010
4890,1700,1350,1990
70,9046,2950,2000
7916,4860,4250,1990
2263,4711,5450,2010
5450,3516,6950,2010
2403,1752,6550,1990
9791,4262,350,1990
9675,3652,1650,2000
7658,327,9650,1990
5151,8549,7150,2000
4801,33,8650,2010
3569,4104,6950,2010
5197,1367,2350,1990
57,976,4250,2000
8368,7594,7750,2010
8546,5716,8050,2010
3819,1953,6850,2000
9626,650,4350,2000
2076,8762,5750,1990
5986,5530,7550,2010
5990,5639,6850,2000
4159,9938,1250,1990
7095,3793,8450,2010
3841,1968,4550,1990
1432,7223,3750,2010
2766,6601,6150,2010
7049,2234,2850,2000
3593,896,6850,2010
5811,3890,450,2000
9807,564,9550,1990
3784,8394,3050,2010
8236,1029,7550,2010
3539,2104,4050,2000
3686,5305,9250,2000
1393,3139,1550,1990
4649,9476,5850,2010
8892,4256,4250,1990
9036,4976,4850,2010
2272,7363,7050,2010
2346,994,8950,2000
2434,2042,1050,2000
7142,4146,5650,2000
5107,2278,1950,1990
4189,8542,3950,2010
5510,8668,9850,2000
6352,8457,5150,2000
1977,3475,8950,2000
6640,3554,6350,2010
1217,2802,6250,2000
8300,6463,6150,1990
9841,5091,4750,1990
3486,95,4050,2000
2629,1178,4050,2010
24,8194,4150,2000
6221,8233,8850,2000
813,7316,4550,1990
5487,6672,6250,2010
7682,1543,7850,2000
7720,878,250,2000
4072,8675,3650,2010
9741,8376,750,2000
5199,7971,650,2010
6957,3537,2550,1990
8039,4319,6950,2000
2868,5125,5250,2010
4696,641,6350,1990
6218,7464,1750,2010
2868,2892,8150,1990
2791,664,4350,2000
5917,9260,8050,2000
6374,2551,8950,2010
1428,9894,650,2010
3522,8699,2150,1990
6296,4778,5350,2010
3985,8335,5350,2000
2232,5993,350,2000
209,115,5250,1990
5285,4358,8450,2010
8490,4998,250,2000
7336,9514,2750,2010
3245,7344,9350,2000
9833,1404,5650,2000
6435,818,3350,1990
9066,7214,150,1990
7720,2257,8750,2010
9116,1914,8350,2010
6540,8756,6950,2000
2841,1163,7750,1990
8595,9350,8850,1990
4422,9642,6750,2010
4652,664,7850,2000
756,5565,9150,1990
6197,5865,6050,1990
6033,7989,8850,1990
4396,1886,3950,1990
7069,7096,6950,1990
8247,2267,4250,2000
6309,567,1950,2000
1288,4324,850,1990
5150,314,9250,2010
9498,1620,5650,2000
1731,9731,2750,2000
6473,1846,7450,1990
5437,7061,4650,2000
851,2764,9950,1990
283,3684,850,2000
5443,477,8850,1990
155,3269,7950,1990
1514,4128,4550,1990
7721,6579,3250,2010
8966,8720,2850,2000
6196,3086,9950,2000
4711,4206,1550,2000
1996,859,2150,2010
8519,9062,950,1990
5897,8016,9850,2010
1579,5313,2050,2000
166,1890,250,1990
5491,1398,6950,1990
2822,5997,7650,2010
3686,8369,2450,2010
4707,6555,550,2010
8734,5612,1150,2000
8427,5994,9050,2010
8842,1605,4850,2010
8143,502,7550,1990
2479,8921,4850,2000
4081,906,4250,2000
6667,2437,6650,2010
5684,62,5350,2000
2297,1089,6750,2000
9538,6916,8050,1990
7416,3229,8650,2010
4275,1309,8250,2010
7960,3537,6150,1990
3987,7748,9950,1990
2934,6674,4950,2000
6246,7672,9650,1990
4952,1719,2950,2000
7346,5884,7250,1990
192,5342,5950,1990
2820,2343,5450,2010
1092,7143,8050,1990
6072,7421,550,2010
6404,5938,1550,2000
8953,2214,1150,2010
47,6721,7950,2000
8689,1631,7950,2000
24,1230,3250,2000
7621,3540,4950,1990
3315,8781,6150,2000
8504,532,4550,2010
2984,5080,3350,1990
521,6228,1150,2010
1097,1812,8850,2000
3850,2474,1350,2000
689,2685,6250,2010
4305,4794,9350,2000
6836,5458,8350,1990
803,2362,1850,1990
3241,3513,3550,1990
6530,3098,1550,2000
5849,6507,8450,2010
616,6274,2150,1990
546,5004,6850,1990
6837,1552,3250,1990
8054,907,9750,2010
7325,6862,7550,2000
1420,7255,6450,2010
2292,6969,4650,1990
7219,5072,5550,1990
3187,4295,5850,2010
2998,4474,3850,2000
6217,6941,8950,2010
3552,8810,5950,1990
1265,1050,1650,2010
5189,6077,8350,2010
7983,9786,1450,2010
8095,6172,8550,1990
209,3648,5550,2010
4053,8669,2150,2000
9380,4827,3850,1990
9367,2275,8450,2010
2279,223,550,2000
567,3162,7450,2000
7014,8908,8850,2000
1202,5099,4250,2000
2277,2334,6250,2010
5707,4159,1550,2010
6912,528,3450,1990
1471,8834,9550,2010
9929,9689,5850,2000
9796,8000,1450,1990
791,4260,1450,1990
3467,9643,9450,2010
6638,6724,8550,2010
6133,7137,7250,1990
3109,7148,7850,2000
3857,1886,3350,2010
8460,2950,850,2000
2969,5658,9750,1990
6705,6444,4050,2010
7937,7495,6150,2000
797,4739,5250,2000
4142,3831,5450,2000
5085,6640,1750,1990
9154,7793,6250,2000
896,2907,4250,2010
5176,7954,4550,2000
8236,4800,2950,1990
3283,103,850,2010
8689,3787,5650,2010
3985,3563,7650,1990
3184,5597,3550,1990
5353,6793,6350,1990
5812,207,6150,2010
5128,7661,6650,2000
3733,9179,7150,2010
3913,7234,4850,1990
5723,1433,6250,2000
199,7576,350,1990
1940,9377,1150,2000
4798,9245,5850,2010
8192,593,7350,2000
9512,4828,2250,2000
5565,314,9850,1990
3983,3767,6350,1990
230,7462,6750,2010
6465,6039,3050,2010
4821,4631,6450,2000
930,3851,5350,1990
178,3684,450,1990
2866,2633,850,2000
9141,3539,350,2000
2578,8394,5750,2010
7814,6429,7050,1990
3356,560,3050,2010
4828,2332,4250,2010
1154,2189,4950,1990
9352,6897,7550,2010
8123,9602,5550,1990
7936,5467,3450,2000
1937,870,450,1990
3400,6594,2450,2010
2936,4359,7150,2000
5641,6191,6650,1990
9122,6935,1450,2000
1716,710,3550,2000
9013,3627,1150,1990
8864,766,7650,2000
2224,6190,5150,2010
2879,1532,2550,2000
1104,1126,5250,1990
9988,3652,8050,2000
6499,8286,450,2000
2705,3477,2050,2000
7479,654,2850,2000
6332,7392,7450,1990
7480,2156,7150,2000
333,457,7450,2000
3512,7563,6750,2000
2851,9297,4350,2010
4907,2387,4450,1990
5841,5938,6950,1990
8946,7840,5650,2010
4355,9497,3450,2000
1511,5676,8850,2000
287,6980,8450,2010
7833,3033,5750,2000
3912,7026,2250,2000
9727,6228,650,2010
5625,7139,5450,1990
3320,5386,2450,2000
8662,2295,2250,2000
9366,6573,5250,2010
2040,7046,5850,1990
3525,2130,850,2010
9602,7092,150,2010
4466,8123,7250,2010
4216,3758,5150,2010
9815,9955,3050,1990
5826,1836,8650,2000
4790,4577,3050,2000
3737,2966,3550,2010
8622,7133,9950,2010
8136,7556,850,2010
3088,9253,7250,1990
9821,2410,1150,2010
2696,8606,150,1990
8283,2372,450,2000
1079,3277,3050,2010
6851,8645,6850,1990
2875,8800,1450,2010
2352,104,1350,2000
129,4580,1950,2000
897,6674,3150,2000
9331,492,6650,2000
8819,2132,7950,1990
8222,2875,6950,1990
4706,2825,2950,2010
3648,2927,8650,2000
4834,1842,8350,2010
3951,2389,7050,1990
4974,826,1250,2000
1252,7192,3850,2010
9962,488,4250,1990
9322,8702,2750,2000
6225,1606,8950,1990
5932,1179,5650,2000
3882,935,50,2000
7771,3033,1150,1990
3403,4384,5850,2000
1538,5783,4950,1990
7893,2622,8250,2010
2010,5704,7550,2000
5935,7048,8750,2000
6959,5575,1350,2000
1246,9944,7950,2000
8137,1548,5650,2000
8898,2049,9750,2000
6226,1255,1250,2000
2172,6912,350,2010
5080,918,5750,2000
6229,4844,2850,2000
9855,8501,6850,1990
4018,4500,7550,2000
3078,9188,9050,2010
6726,7687,6050,2010
3610,2971,8250,1990
5284,1587,1150,2000
8650,8528,1050,1990
5571,5140,3250,2010
5944,3674,8850,1990
7628,9606,3350,2010
4969,5239,7450,2010
7113,5719,4350,1990
5218,2371,2150,2000
770,7705,9950,2000
9859,5242,6050,2000
8747,8761,8550,1990
3617,1662,3550,2010
2509,8554,8350,2010
7457,5621,1850,1990
7739,4151,3650,1990
7968,891,5950,2010
7394,4607,6950,2000
5953,6097,4450,2000
1184,7845,8650,1990
9586,2770,9350,2000
303,3780,6350,2010
7124,36,9750,2000
5946,2425,2150,2010
6999,1508,6650,1990
7882,7368,5850,1990
480,559,4950,2010
53,4726,9150,1990
1997,2137,2150,1990
7232,7128,9350,2010
1386,2195,5750,2000
6086,7221,1750,1990
4910,8134,8050,2010
1915,5680,850,1990
5810,6512,8650,1990
5443,7017,950,1990
4277,8364,1050,2000
8494,8285,2350,1990
9315,5326,50,1990
1457,4965,4250,2000
393,5569,1850,1990
2061,5539,3450,2000
5251,1815,1350,2010
702,9239,1250,2000
6888,3881,9750,2010
8115,184,5550,2010
8157,1497,9550,1990
9899,3751,2650,2010
9154,2835,1050,1990
3482,6299,50,1990
9313,6382,8150,1990
3807,6096,3750,2010
7610,2815,4050,2000
3273,8381,7150,1990
7748,653,4350,2000
3789,3006,6350,2010
9674,9984,7350,2000
7614,2611,8550,2010
378,6534,150,2000
1592,5034,6150,2010
8793,7722,2050,2010
5584,7878,4650,2010
7772,4767,9450,2010
529,3741,350,2000
1178,7798,3150,2000
3993,2790,1050,1990
8335,5011,2350,2000
2223,9390,5750,1990
4627,3218,950,2000
8962,9894,4350,1990
1522,2169,6450,1990
7914,7911,2650,2000
1626,7446,1350,2010
5889,7890,2150,2010
222,164,9350,2000
6340,2239,6750,2000
5602,135,4650,1990
895,7155,8450,2010
8245,2231,6050,2000
9645,1808,2750,2010
5916,8623,2150,2000
5477,3450,1050,2000
6561,1504,8350,1990
7977,1958,7450,2000
9458,7051,2150,2010
7819,7844,8150,1990
5669,5797,7550,1990
4714,3989,1250,2000
9981,8035,5950,2000
2244,1621,4450,2010
5262,8072,3350,2010
4018,1453,9350,2000
5716,7084,4350,2010
7867,2260,7350,2000
5289,9505,3750,1990
4414,2938,8250,2010
1497,1426,3450,2010
9137,384,1450,1990
2113,7995,2950,2010
376,8837,7850,1990
5148,8470,1350,2000
6130,4593,4250,2000
9737,1705,3750,2000
3227,973,3550,1990
9108,8742,3250,2000
1743,6057,7250,1990
7407,4773,1950,2000
5224,2832,5050,2000
9117,1487,5350,2000
6205,48,6650,2000
9495,8593,6450,2010
304,4676,3150,2000
9896,8054,2450,2010
2700,9721,350,1990
2882,7296,5250,2000
7717,564,1950,1990
4324,6425,2550,2000
153,5422,9550,1990
9072,5232,5750,1990
2656,8858,2850,2010
3010,4988,6150,1990
5830,8267,9050,1990
5866,4633,8050,2010
3960,4249,3450,2000
8770,8800,4950,2010
8456,9842,4850,1990
8995,2310,5250,2000
3361,5163,4750,2010
1917,3674,8250,2010
1860,2507,1450,2000
8956,7698,5150,2010
9571,2403,5250,1990
3734,9947,1450,2000
9139,8516,1450,2010
4611,3883,1450,2000
1213,9772,5850,1990
3577,3585,2150,2010
8471,8603,1350,2000
8025,790,6750,2000
2744,2430,3750,1990
3915,194,3450,2000
5445,4338,6550,1990
3892,5470,2650,2000
7399,2526,5050,2010
2294,5255,3450,2000
4948,998,6050,1990
3728,1967,8350,2010
1479,7217,6850,2000
2768,5651,1550,1990
5669,3842,2050,2010
6586,8626,5750,2010
4325,4414,3850,1990
9988,3303,1950,2000
5950,3893,2950,1990
8588,7360,8750,1990
3947,7070,6450,2010
9781,9341,1050,2010
897,3620,5850,2000
7607,2338,9550,1990
3351,2624,3750,1990
704,6757,8950,2000
3786,6071,3650,2000
586,8022,7650,2000
5651,65,7350,2000
4209,8423,8250,1990
5003,8002,50,2010
1617,6367,8850,1990
3947,8605,6450,2000
2147,4154,2750,2000
827,5711,7850,2000
4844,7462,7450,1990
8817,6420,9950,1990
4613,5780,3550,2010
682,3674,3650,2010
1553,8368,8150,1990
9270,9344,650,2000
9624,7081,450,1990
499,5855,9350,2010
5946,4175,6150,1990
8059,3297,4050,2000
5649,83,1250,2010
9950,5429,5150,1990
5612,9280,6050,1990
8723,7088,7550,2000
5784,3526,5750,1990
2832,7639,5650,2010
7129,3276,3950,1990
6845,6832,3950,1990
4904,9134,6750,2000
1107,5458,9150,2000
3761,1660,6850,1990
8415,4946,150,2010
9627,5688,550,2010
6330,4534,2650,2010
7464,1749,2050,2000
5281,9198,9450,1990
5745,9515,350,1990
7891,8837,8250,2000
1375,7669,1450,2010
6198,8921,9650,2010
5160,8344,3350,2010
7674,7534,6450,2010
4401,1542,6750,2010
8662,4365,9050,2000
9930,9421,1850,2010
8678,927,1650,1990
6282,4887,4150,2000
235,4152,5950,2010
9001,2162,150,2010
9931,6959,7350,1990
1143,4391,8750,2010
7178,4680,750,2010
6040,4851,7650,1990
7830,9784,9150,2010
4887,3380,8150,1990
8489,5776,9750,2010
8479,8759,5450,2000
9337,1884,8650,2000
8715,9255,2750,1990
7749,3376,2450,1990
3594,9489,1750,2010
1816,5274,8450,1990
3343,9290,5750,2010
6019,1896,5150,2000
3131,9418,7950,1990
4728,3395,8050,1990
6708,2889,9150,2010
5626,2404,550,1990
5303,4666,6050,2010
5279,7156,3150,2000
2471,7900,3750,2010
4562,1835,2650,1990
